,date,Birk Value,Birk Extracted Value,Croc Value,Croc Extracted Value
0,"Apr 10 – 16, 2022",68,68,62,62
1,"Apr 17 – 23, 2022",68,68,55,55
2,"Apr 24 – 30, 2022",73,73,68,68
3,"May 1 – 7, 2022",76,76,95,95
4,"May 8 – 14, 2022",85,85,74,74
5,"May 15 – 21, 2022",89,89,73,73
6,"May 22 – 28, 2022",87,87,76,76
7,"May 29 – Jun 4, 2022",100,100,85,85
8,"Jun 5 – 11, 2022",97,97,79,79
9,"Jun 12 – 18, 2022",91,91,91,91
10,"Jun 19 – 25, 2022",95,95,86,86
11,"Jun 26 – Jul 2, 2022",96,96,84,84
12,"Jul 3 – 9, 2022",92,92,80,80
13,"Jul 10 – 16, 2022",94,94,76,76
14,"Jul 17 – 23, 2022",90,90,76,76
15,"Jul 24 – 30, 2022",82,82,75,75
16,"Jul 31 – Aug 6, 2022",82,82,72,72
17,"Aug 7 – 13, 2022",87,87,69,69
18,"Aug 14 – 20, 2022",79,79,68,68
19,"Aug 21 – 27, 2022",89,89,65,65
20,"Aug 28 – Sep 3, 2022",80,80,61,61
21,"Sep 4 – 10, 2022",81,81,74,74
22,"Sep 11 – 17, 2022",66,66,69,69
23,"Sep 18 – 24, 2022",60,60,64,64
24,"Sep 25 – Oct 1, 2022",59,59,64,64
25,"Oct 2 – 8, 2022",57,57,83,83
26,"Oct 9 – 15, 2022",56,56,64,64
27,"Oct 16 – 22, 2022",55,55,56,56
28,"Oct 23 – 29, 2022",48,48,50,50
29,"Oct 30 – Nov 5, 2022",45,45,58,58
30,"Nov 6 – 12, 2022",45,45,66,66
31,"Nov 13 – 19, 2022",49,49,66,66
32,"Nov 20 – 26, 2022",68,68,100,100
33,"Nov 27 – Dec 3, 2022",58,58,89,89
34,"Dec 4 – 10, 2022",57,57,83,83
35,"Dec 11 – 17, 2022",58,58,85,85
36,"Dec 18 – 24, 2022",53,53,77,77
37,"Dec 25 – 31, 2022",57,57,75,75
38,"Jan 1 – 7, 2023",40,40,51,51
39,"Jan 8 – 14, 2023",39,39,47,47
40,"Jan 15 – 21, 2023",32,32,46,46
41,"Jan 22 – 28, 2023",34,34,43,43
42,"Jan 29 – Feb 4, 2023",32,32,42,42
43,"Feb 5 – 11, 2023",38,38,40,40
44,"Feb 12 – 18, 2023",39,39,45,45
45,"Feb 19 – 25, 2023",47,47,53,53
46,"Feb 26 – Mar 4, 2023",44,44,64,64
47,"Mar 5 – 11, 2023",52,52,63,63
48,"Mar 12 – 18, 2023",50,50,61,61
49,"Mar 19 – 25, 2023",54,54,54,54
50,"Mar 26 – Apr 1, 2023",60,60,57,57
51,"Apr 2 – 8, 2023",72,72,55,55
