geo,Location
US,United States
US-AK,Alaska
US-AK-743,Anchorage AK
US-AK-745,Fairbanks AK
US-AK-747,Juneau AK
US-AL,Alabama
US-AL-630,Birmingham AL
US-AL-691,Huntsville-Decatur (Florence) AL
US-AL-698,Montgomery (Selma) AL
US-AR,Arkansas
US-AR-693,Little Rock-Pine Bluff AR
US-AR-734,Jonesboro AR
US-AZ,Arizona
US-AZ-753,Phoenix AZ
US-AZ-789,Tucson (Sierra Vista) AZ
US-CA,California
US-CA-771,Yuma AZ-El Centro CA
US-CA-800,Bakersfield CA
US-CA-802,Eureka CA
US-CA-803,Los Angeles CA
US-CA-804,Palm Springs CA
US-CA-807,San Francisco-Oakland-San Jose CA
US-CA-825,San Diego CA
US-CA-828,Monterey-Salinas CA
US-CA-855,Santa Barbara-Santa Maria-San Luis Obispo CA
US-CA-862,Sacramento-Stockton-Modesto CA
US-CA-866,Fresno-Visalia CA
US-CA-868,Chico-Redding CA
US-CO,Colorado
US-CO-752,Colorado Springs-Pueblo CO
US-CO-773,Grand Junction-Montrose CO
US-CT,Connecticut
US-CT-533,Hartford & New Haven CT
US-DC,District of Columbia
US-DE,Delaware
US-FL,Florida
US-FL-528,Miami-Ft. Lauderdale FL
US-FL-534,Orlando-Daytona Beach-Melbourne FL
US-FL-539,Tampa-St. Petersburg (Sarasota) FL
US-FL-548,West Palm Beach-Ft. Pierce FL
US-FL-571,Ft. Myers-Naples FL
US-FL-592,Gainesville FL
US-FL-656,Panama City FL
US-FL-686,Mobile AL-Pensacola (Ft. Walton Beach) FL
US-GA,Georgia
US-GA-503,Macon GA
US-GA-522,Columbus GA
US-GA-524,Atlanta GA
US-GA-525,Albany GA
US-GA-530,Tallahassee FL-Thomasville GA
US-GA-561,Jacksonville FL
US-GA-606,Dothan AL
US-HI,Hawaii
US-HI-744,Honolulu HI
US-IA,Iowa
US-IA-637,Cedar Rapids-Waterloo-Iowa City & Dubuque IA
US-IA-679,Des Moines-Ames IA
US-IA-682,Davenport IA-Rock Island-Moline IL
US-ID,Idaho
US-ID-760,Twin Falls ID
US-IL,Illinois
US-IL-610,Rockford IL
US-IL-648,Champaign & Springfield-Decatur IL
US-IL-675,Peoria-Bloomington IL
US-IN,Indiana
US-IN-527,Indianapolis IN
US-IN-581,Terre Haute IN
US-IN-582,Lafayette IN
US-IN-602,Chicago IL
US-KS,Kansas
US-KS-605,Topeka KS
US-KS-678,Wichita-Hutchinson KS
US-KY,Kentucky
US-KY-529,Louisville KY
US-KY-541,Lexington KY
US-KY-649,Evansville IN
US-KY-736,Bowling Green KY
US-LA,Louisiana
US-LA-622,New Orleans LA
US-LA-628,Monroe LA-El Dorado AR
US-LA-642,Lafayette LA
US-LA-643,Lake Charles LA
US-LA-644,Alexandria LA
US-MA,Massachusetts
US-MA-521,Providence RI-New Bedford MA
US-MA-543,Springfield-Holyoke MA
US-MD,Maryland
US-MD-512,Baltimore MD
US-MD-576,Salisbury MD
US-ME,Maine
US-ME-537,Bangor ME
US-ME-552,Presque Isle ME
US-MI,Michigan
US-MI-505,Detroit MI
US-MI-513,Flint-Saginaw-Bay City MI
US-MI-540,Traverse City-Cadillac MI
US-MI-551,Lansing MI
US-MI-553,Marquette MI
US-MI-563,Grand Rapids-Kalamazoo-Battle Creek MI
US-MI-583,Alpena MI
US-MI-588,South Bend-Elkhart IN
US-MN,Minnesota
US-MN-611,Rochester MN-Mason City IA-Austin MN
US-MN-737,Mankato MN
US-MO,Missouri
