,geo_x,State,Birk max value index,Birk value,Birk extracted value,geo_y,Croc max value index,Croc value,Croc extracted value
0,US-VT,Vermont,0,100,100,US-VT,0,53,53
1,US-ID,Idaho,0,91,91,US-ID,0,42,42
2,US-SD,South Dakota,0,90,90,US-SD,0,36,36
3,US-IA,Iowa,0,85,85,US-IA,0,43,43
4,US-HI,Hawaii,0,85,85,US-HI,0,86,86
5,US-MN,Minnesota,0,84,84,US-MN,0,55,55
6,US-AR,Arkansas,0,82,82,US-AR,0,55,55
7,US-OR,Oregon,0,82,82,US-OR,0,49,49
8,US-WA,Washington,0,78,78,US-WA,0,59,59
9,US-DC,District of Columbia,0,78,78,US-DC,0,66,66
10,US-NE,Nebraska,0,77,77,US-NE,0,49,49
11,US-MT,Montana,0,76,76,US-MT,0,37,37
12,US-NH,New Hampshire,0,76,76,US-NH,0,57,57
13,US-TN,Tennessee,0,75,75,US-TN,0,62,62
14,US-ME,Maine,0,73,73,US-ME,0,54,54
15,US-UT,Utah,0,71,71,US-UT,0,47,47
16,US-AL,Alabama,0,70,70,US-AL,0,76,76
17,US-CA,California,0,70,70,US-CA,0,94,94
18,US-CO,Colorado,0,70,70,US-CO,0,59,59
19,US-MA,Massachusetts,0,68,68,US-MA,0,74,74
20,US-WI,Wisconsin,0,68,68,US-WI,0,61,61
21,US-AK,Alaska,0,68,68,US-AK,0,55,55
22,US-KS,Kansas,0,68,68,US-KS,0,47,47
23,US-RI,Rhode Island,0,67,67,US-RI,0,76,76
24,US-ND,North Dakota,0,66,66,US-ND,0,42,42
25,US-AZ,Arizona,0,66,66,US-AZ,0,85,85
26,US-NC,North Carolina,0,65,65,US-NC,0,80,80
27,US-SC,South Carolina,0,65,65,US-SC,0,82,82
28,US-KY,Kentucky,0,65,65,US-KY,0,69,69
29,US-MS,Mississippi,0,64,64,US-MS,0,80,80
30,US-WV,West Virginia,0,63,63,US-WV,0,63,63
31,US-MI,Michigan,0,61,61,US-MI,0,65,65
32,US-OK,Oklahoma,0,61,61,US-OK,0,51,51
33,US-NM,New Mexico,0,61,61,US-NM,0,69,69
34,US-CT,Connecticut,0,61,61,US-CT,0,84,84
35,US-IN,Indiana,0,60,60,US-IN,0,69,69
36,US-IL,Illinois,0,59,59,US-IL,0,84,84
37,US-MO,Missouri,0,59,59,US-MO,0,55,55
38,US-WY,Wyoming,0,58,58,US-WY,0,34,34
39,US-OH,Ohio,0,57,57,US-OH,0,72,72
40,US-VA,Virginia,0,57,57,US-VA,0,80,80
41,US-DE,Delaware,0,56,56,US-DE,0,94,94
42,US-NY,New York,0,53,53,US-NY,0,79,79
43,US-PA,Pennsylvania,0,53,53,US-PA,0,74,74
44,US-GA,Georgia,0,52,52,US-GA,0,89,89
45,US-NV,Nevada,0,51,51,US-NV,0,88,88
46,US-NJ,New Jersey,0,49,49,US-NJ,0,83,83
47,US-TX,Texas,0,45,45,US-TX,0,100,100
48,US-MD,Maryland,0,44,44,US-MD,0,97,97
49,US-LA,Louisiana,0,40,40,US-LA,0,63,63
50,US-FL,Florida,0,40,40,US-FL,0,87,87
