,Product name,Selling Source,Price ($),Extracted Price,Rating,Reviews
0,Birkenstock Arizona Sandals Mocca,BIRKENSTOCK,$59.95,59.95,4.7,150.0
1,Birkenstock Brown Arizona Sandals,Amazon.com - Seller,$86.76,86.76,4.7,583.0
2,Birkenstock Black Arizona Sandals,ssense.com,$190.00,190.0,4.5,6404.0
3,Birkenstock Arizona Sandals - Brown,Surfdome US,$66.95,66.95,4.7,13912.0
4,BIRKENSTOCK Sydney Birko-Flor Graceful Old Rose Two-Strap Sandals,BIRKENSTOCK,$59.97,59.97,,
5,"Birkenstock Kids Arizona EVA, White, 30",DICK'S Sporting Goods,$34.95,34.95,4.3,36.0
6,"Birkenstock Arizona Metallic Slide Sandal in Electric Metallic at Nordstrom, Size ...",Nordstrom,$59.95,59.95,4.6,11.0
7,Birkenstock Arizona Sandals Brown,The Golden Boot,$93.34,93.34,4.6,411.0
8,Birkenstock Navy Arizona Narrow Fit Sandals,Spartoo.net,$44.00,44.0,4.7,13.0
9,BIRKENSTOCK Kids Arizona Birko-Flor Nubuck Mocha Two-Strap Sandals,BIRKENSTOCK,$59.95,59.95,,
10,"Birkenstock Men's Arizona Eva Sandals, Multi/Black",Champs Sports,$34.99,34.99,4.4,124.0
11,"Birkenstock Arizona Eva Multi Gold Women's, 39 / N",Rack Room Shoes,$54.99,54.99,4.5,1154.0
12,Birkenstock Kids Arizona Eva - Black 29,DSW,$34.99,34.99,4.3,29.0
13,Birkenstock Arizona Soft Footbed - Suede Single Shoe,Zappos.com,$67.50,67.5,,
14,Birkenstock Arizona Toe Loop Sandal in Electric Metallic Gold,Backcountry.com,$59.95,59.95,4.5,5346.0
15,"Birkenstock Women's Arizona Sandals, Black, Size 9",QVC,$110.00,110.0,4.7,9669.0
16,"Birkenstock Women's Arizona Slide Sandal, Mocha, 36",Shoe Carnival,$109.99,109.99,4.6,1864.0
17,BIRKENSTOCK Arizona Essentials Anthracite Beach Sandals,BIRKENSTOCK,$49.95,49.95,,
18,Birkenstock Boston SFB Taupe Suede,Urban Excess,$134.00,134.0,4.4,24.0
19,Birkenstock Arizona Sandals - Black,Daniel Footwear,$67.46,67.46,4.8,1452.0
20,"Birkenstock Arizona Colorblock Sandal in Mineral/Light Rose, Size 5-5.5Us",6pm.com,$71.40,71.4,4.8,7.0
21,Birkenstock Kids' Arizona Mocha,Famous Footwear,$59.99,59.99,4.7,162.0
22,Birkenstock Arizona 1021201 Pink,HSN,$52.99,52.99,4.8,8.0
23,Birkenstock Arizona Nubuck Leather Beryl Two-Strap Sandals,eBay - 4feetshoes,$140.63,140.63,4.7,44.0
24,Birkenstock Arizona Sandals - White,SLS-Bartel-Shop,$101.99,101.99,4.7,395.0
25,Birkenstock - Arizona Shiny Sandals - Woman - Size 38 - Black,Walmart - Britsh Brands,$115.32,115.32,4.5,36.0
26,Birkenstock Arizona Eva Black,Sugar,$49.00,49.0,4.5,6414.0
27,"Birkenstock Women's Arizona Sandals, Black, 41",Finish Line,$110.00,110.0,4.8,1160.0
28,BIRKENSTOCK Arizona Essentials Khaki Beach Sandals,BIRKENSTOCK,$49.95,49.95,,
29,Birkenstock Milano HL Mocha Birkibuc,Bloomingdale's,$69.95,69.95,4.6,14.0
30,Birkenstock Arizona Birko-Flor Nubuck Khaki Two-Strap Sandals,Westerlind,$50.00,50.0,5.0,3.0
31,Birkenstock Arizona Essentials Slide Sandal | Women's | Light Pink | Size EU 40 ...,Tillys,$49.99,49.99,4.5,3324.0
