,geo_x,State,Birk max value index,Birk value,Birk extracted value,geo_y,Croc max value index,Croc value,Croc extracted value
0,US-VT,Vermont,0,100,100,US-VT,0,53,53
1,US-ID,Idaho,0,77,77,US-ID,0,41,41
2,US-SD,South Dakota,0,74,74,US-SD,0,35,35
3,US-IA,Iowa,0,73,73,US-IA,0,43,43
4,US-MN,Minnesota,0,72,72,US-MN,0,54,54
5,US-AR,Arkansas,0,70,70,US-AR,0,54,54
6,US-OR,Oregon,0,70,70,US-OR,0,48,48
7,US-DC,District of Columbia,0,67,67,US-DC,0,65,65
8,US-MT,Montana,0,67,67,US-MT,0,37,37
9,US-NE,Nebraska,0,66,66,US-NE,0,48,48
10,US-WA,Washington,0,66,66,US-WA,0,55,55
11,US-NH,New Hampshire,0,66,66,US-NH,0,56,56
12,US-HI,Hawaii,0,64,64,US-HI,0,84,84
13,US-ME,Maine,0,63,63,US-ME,0,53,53
14,US-TN,Tennessee,0,63,63,US-TN,0,61,61
15,US-AL,Alabama,0,61,61,US-AL,0,74,74
16,US-UT,Utah,0,60,60,US-UT,0,43,43
17,US-ND,North Dakota,0,60,60,US-ND,0,42,42
18,US-CO,Colorado,0,60,60,US-CO,0,59,59
19,US-CA,California,0,60,60,US-CA,0,98,98
20,US-WI,Wisconsin,0,59,59,US-WI,0,60,60
21,US-MA,Massachusetts,0,59,59,US-MA,0,71,71
22,US-KS,Kansas,0,57,57,US-KS,0,46,46
23,US-NC,North Carolina,0,57,57,US-NC,0,76,76
24,US-AK,Alaska,0,57,57,US-AK,0,53,53
25,US-SC,South Carolina,0,57,57,US-SC,0,81,81
26,US-AZ,Arizona,0,57,57,US-AZ,0,74,74
27,US-MS,Mississippi,0,56,56,US-MS,0,80,80
28,US-WV,West Virginia,0,55,55,US-WV,0,61,61
29,US-KY,Kentucky,0,55,55,US-KY,0,66,66
30,US-OK,Oklahoma,0,54,54,US-OK,0,52,52
31,US-RI,Rhode Island,0,54,54,US-RI,0,73,73
32,US-CT,Connecticut,0,52,52,US-CT,0,81,81
33,US-NM,New Mexico,0,52,52,US-NM,0,68,68
34,US-MI,Michigan,0,52,52,US-MI,0,64,64
35,US-MO,Missouri,0,52,52,US-MO,0,54,54
36,US-IN,Indiana,0,51,51,US-IN,0,65,65
37,US-IL,Illinois,0,51,51,US-IL,0,89,89
38,US-DE,Delaware,0,50,50,US-DE,0,91,91
39,US-WY,Wyoming,0,49,49,US-WY,0,33,33
40,US-OH,Ohio,0,49,49,US-OH,0,74,74
41,US-VA,Virginia,0,49,49,US-VA,0,80,80
42,US-PA,Pennsylvania,0,46,46,US-PA,0,76,76
43,US-NY,New York,0,45,45,US-NY,0,74,74
44,US-GA,Georgia,0,45,45,US-GA,0,86,86
45,US-TX,Texas,0,43,43,US-TX,0,97,97
46,US-NV,Nevada,0,42,42,US-NV,0,84,84
47,US-NJ,New Jersey,0,42,42,US-NJ,0,78,78
48,US-MD,Maryland,0,38,38,US-MD,0,100,100
49,US-LA,Louisiana,0,34,34,US-LA,0,65,65
50,US-FL,Florida,0,34,34,US-FL,0,82,82
