,Product name_x,Selling Source,Price ($)_x,Extracted Price_x,Rating_x,Reviews_x,Product name_y,Price ($)_y,Extracted Price_y,Rating_y,Reviews_y
0,Birkenstock Arizona Sandals - Brown,Amazon.com - Seller,79.99,79.99,4.7,13725,Crocs Unisex-Adult Classic Clog,25.0,25.0,0.0,0
1,Birkenstock Arizona Sandals - Brown,Amazon.com - Seller,79.99,79.99,4.7,13725,Crocs Unisex-Adult Classic Clogs (Retired Colors),29.95,29.95,0.0,0
2,Birkenstock Arizona Sandals - Brown,Amazon.com - Seller,79.99,79.99,4.7,13725,Crocs Unisex-Adult Classic Clogs (Best Sellers),33.4,33.4,0.0,0
3,Birkenstock Brown Arizona Sandals,ssense.com,100.0,100.0,4.7,582,Crocs Purple Classic Clogs,50.0,50.0,4.8,126
4,Birkenstock Arizona Birko-Flor Dark Brown,Rack Room Shoes,109.99,109.99,4.7,2526,"Crocs Adult Original Classic Clogs, Men's, Size: M5/W7, Black",49.99,49.99,4.6,15071
5,"Birkenstock Men's Arizona Essentials EVA Sandals, Black, Size 46",DICK'S Sporting Goods,49.95,49.95,4.5,1462,Crocs Classic Clog 204536 Pink,26.24,26.24,4.8,1723
6,"Birkenstock Men's Arizona Essentials EVA Sandals, Black, Size 46",DICK'S Sporting Goods,49.95,49.95,4.5,1462,"Crocs Classic Cozzzy Sandal, White, M15",41.24,41.24,4.5,435
7,Birkenstock Kids Arizona Eva - Black 29,DSW,34.99,34.99,4.3,29,Crocs Classic Clog Sandals (Solarized) - Size 7.0 M,34.98,34.98,4.8,45
8,Birkenstock Gizeh Sandal | Women's | Mocha | Size EU 37 / US Womens 6-6.5 / Mens ...,DSW,99.99,99.99,4.6,246,Crocs Classic Clog Sandals (Solarized) - Size 7.0 M,34.98,34.98,4.8,45
9,Birkenstock Arizona Canvas Slide Sandal in Stone Coin,Zappos.com,46.87,46.87,3.9,9,Crocs Unisex-Adult Classic Adjustable Slip Resistant Clogs | Work Shoes,41.24,41.24,4.0,26
10,Birkenstock Arizona Canvas Slide Sandal in Stone Coin,Zappos.com,46.87,46.87,3.9,9,"Crocs Classic Crush Shimmer Women's Clog Shoes, Pink, Size: 6",69.95,69.95,0.0,0
11,Birkenstock Arizona Soft Footbed - Suede Single Shoe,Zappos.com,56.7,56.7,0.0,0,Crocs Unisex-Adult Classic Adjustable Slip Resistant Clogs | Work Shoes,41.24,41.24,4.0,26
12,Birkenstock Arizona Soft Footbed - Suede Single Shoe,Zappos.com,56.7,56.7,0.0,0,"Crocs Classic Crush Shimmer Women's Clog Shoes, Pink, Size: 6",69.95,69.95,0.0,0
13,"Birkenstock Arizona Eva Multi Gold Women's, 39 / N",Scheels,54.95,54.95,4.5,1163,"Crocs Kids' Classic Clogs, Kids Unisex, Size: 10K, White",27.99,27.99,4.8,814
14,"Birkenstock Arizona Metallic Slide Sandal in Electric Metallic at Nordstrom, Size ...",Nordstrom,59.95,59.95,4.6,11,Crocs Kids Classic Clog White,39.99,39.99,4.8,1325
15,Birkenstock Arizona 1021201 Pink,6pm.com,24.75,24.75,4.8,8,Crocs -Unisex Classic Lined Clog,31.77,31.77,4.8,6424
16,Birkenstock Arizona 1021201 Pink,6pm.com,24.75,24.75,4.8,8,"Crocs Classic Lined Holiday Charm Clog, White/Multi, W9/M7",34.98,34.98,4.8,971
17,"Birkenstock Men's Arizona Eva Sandals, Multi/Black",Champs Sports,34.99,34.99,4.5,125,Crocs Big Kids' All-Terrain Black Panther Classic Clog Shoes Size 4.0,55.0,55.0,5.0,21
18,Birkenstock Boston Soft Footbed (44 Taupe Suede),StockX,154.0,154.0,4.6,478,Crocs Classic Clog KFC,307.0,307.0,4.2,5
19,Birkenstock Boston Soft Footbed (44 Taupe Suede),StockX,154.0,154.0,4.6,478,Crocs Classic Clog Lightning McQueen,193.0,193.0,0.0,0
20,Birkenstock Eva Arizona - Rose 37,Finish Line,50.0,50.0,4.5,3338,Crocs Classic Clog (Black),50.0,50.0,4.6,15477
21,Birkenstock Eva Arizona - Rose 37,Finish Line,50.0,50.0,4.5,3338,Crocs All-Terrain Black Panther Classic Clog Shoes Size 6.0,50.0,50.0,4.8,73
22,Birkenstock Eva Arizona - Rose 37,Finish Line,50.0,50.0,4.5,3338,Crocs Unisex Classic Clog Shoes (Men's Sizing) in Blue/Pure Water Size 8.0,40.0,40.0,0.0,0
23,Birkenstock Arizona Kids Sandal,Foot Locker,60.0,60.0,4.5,21,Crocs Mens Classic - Mens Shoes White/Grey Size 13.0,70.0,70.0,3.7,3
