,Product name,Selling Source,Price ($),Extracted Price,Rating,Reviews
0,Birkenstock Arizona Sandals Mocca,BIRKENSTOCK,$59.95,59.95,4.7,150.0
1,Women's Birkenstock Arizona Essentials Slide Sandal - Black - Size 10,DSW,$49.99,49.99,4.6,14115.0
2,"Birkenstock Arizona Narrow Width in Mocha, Size 27",REI,$59.95,59.95,4.7,162.0
3,Birkenstock Black Arizona Sandals,ssense.com,$190.00,190.0,4.5,6404.0
4,Birkenstock Arizona Birko-Flor Dark Brown,Amazon.com - Seller,$72.95,72.95,4.7,9669.0
5,Birkenstock Arizona 1021201 Pink,6pm.com,$24.75,24.75,4.8,8.0
6,Birkenstock Navy Arizona Narrow Fit Sandals,Spartoo.net,$44.00,44.0,4.7,13.0
7,"Birkenstock Mayari Birko-Flor Slide Sandal in White at Nordstrom, Size 11-11.5Us",Nordstrom,$59.95,59.95,4.8,16.0
8,Birkenstock Arizona Sandals - Brown,Urban Excess,$72.00,72.0,4.7,1495.0
9,"Birkenstock Women's Arizona Slide Sandal, Mocha, 36",DICK'S Sporting Goods,$109.99,109.99,4.6,1864.0
10,Birkenstock Arizona Sandals - White,SLS-Bartel-Shop,$101.99,101.99,4.7,395.0
11,Birkenstock Arizona Sandals Brown,The Golden Boot,$93.12,93.12,4.7,583.0
12,"Birkenstock Women's Arizona Birko-Flor Sandal, Black, 37",Zappos.com,$110.00,110.0,4.8,1160.0
13,Birkenstock Arizona Sandals - Stone,Tower London,$94.00,94.0,4.7,13912.0
14,BIRKENSTOCK Boston Birko-Flor Nubuck Black Clogs,BIRKENSTOCK,$120.00,120.0,,
15,Birkenstock Milano Birko Flor Nubuck Sandals - Mocca,London Store,$82.00,82.0,4.7,31.0
16,Birkenstock Arizona Eva Sandals Black - 40,Sugar,$49.00,49.0,4.5,6030.0
17,Birkenstock Mocca Arizona Sandals,TopBrandShoes,$80.69,80.69,4.9,331.0
18,Birkenstock Women's Arizona Split Mineral/Light Rose,eBay - ratanapuspita,$99.99,99.99,4.8,7.0
19,Birkenstock Arizona EVA Sandal - White 10,Macy's,$50.00,50.0,4.6,2254.0
20,Birkenstock Sandals - Arizona - Black,Childrensalon,$47.00,47.0,4.7,9669.0
21,"Birkenstock Arizona Eva Multi Gold Women's, 36 / N",Scheels,$54.95,54.95,4.5,1154.0
22,"Birkenstock Women's Arizona Split Sandals, White/Gold",Finish Line,$115.00,115.0,4.8,865.0
23,Birkenstock Women's Arizona Vintage Metallic Rose Copper,Buckle,$135.00,135.0,4.4,35.0
24,"Birkenstock Arizona Metallic Slide Sandal in Electric Metallic at Nordstrom, Size ...",Nordstrom,$59.95,59.95,4.6,11.0
25,BIRKENSTOCK Boston Oiled Leather Tobacco Brown Clogs,BIRKENSTOCK,$142.00,142.0,,
26,Birkenstock Women's Arizona Eva Essentials Sandal - Sky Blue,Rack Room Shoes,$49.99,49.99,4.5,6414.0
27,Birkenstock Boston Oiled Leather Iron Soft Footbed 46,Dillard's,$158.00,158.0,4.7,593.0
28,Birkenstock Women's Sydney Graceful Taupe Birko-Flor,Famous Footwear,$99.99,99.99,4.7,40.0
29,Birkenstock Arizona Birko-Flor Single Shoe Black Birko-Flor,Zappos.com,$49.97,49.97,,
30,"Birkenstock Arizona in Mocha Birkibuc, Size UK 9.5 | END. Clothing",END. Clothing,$69.00,69.0,,
31,Birkenstock Women's Arizona Eva Essentials Sandal - Active Lime,Shoe Carnival,$49.99,49.99,4.5,3040.0
32,Birkenstock Arizona Eva Black 1018924,Childsplay Clothing International,$26.00,26.0,5.0,13.0
33,BIRKENSTOCK Kids Arizona EVA Black Beach Sandals,BIRKENSTOCK,$34.95,34.95,,
34,Birkenstock Women's Arizona Pink Wool Shearling,Poshmark,$60.00,60.0,4.3,91.0
35,Birkenstock Women's Birko-Flor Patent Sandals - Fossi - Each,DICK'S Sporting Goods,$99.99,99.99,5.0,1.0
36,Birkenstock Arizona EVA Green,SVD-sivasdescalzo,$20.00,20.0,4.5,6414.0
37,Birkenstock Womens Arizona Sandal Women's Black 37 (US 6),American Eagle Outfitters,$110.00,110.0,4.7,116.0
38,Birkenstock Women's Arizona Vegan - Light Rose,Chattanooga Shoe Co.,$110.00,110.0,4.3,55.0
39,Birkenstock Silver Arizona Sandals,Daniel Footwear,$93.41,93.41,4.4,30.0
40,Birkenstock Women's Arizona Eva White,Smallable,$55.00,55.0,4.6,520.0
41,"Birkenstock Men's Jackson Boots, Dark Brown",Public Lands,$219.99,219.99,2.5,10.0
42,Arizona Bb NL High Mule - Birkenstock - Shine Butter - Leather,Monnier Paris US,$145.00,145.0,,
43,Birkenstock Mayari Birko Flor Sandals - Patent Black,Shooos.com,$76.80,76.8,4.7,5347.0
44,Birkenstock Kid's Arizona Vegan Sandal,ShoeMall,$69.95,69.95,4.3,3.0
45,Birkenstock Arizona Eva Black,Allike Store Hamburg,$48.97,48.97,4.5,6414.0
46,Birkenstock 'Arizona' Sandals Beige,Shoes Megastore US,$119.00,119.0,4.7,13912.0
47,Birkenstock Arizona BF Black,SneakerStudio.com,$90.00,90.0,4.4,62.0
48,Birkenstock Men's Arizona Casual Sandals from Finish Line - Beige - Size 46,Macy's,$110.00,110.0,4.0,1.0
49,Birkenstock Women's Zermatt Shearling Light Gray / 38,Rogans Shoes,$99.95,99.95,4.6,412.0
50,Birkenstock Boston Shearling,shoebacca.com,$170.00,170.0,4.6,117.0
51,Birkenstock Boston Suede - Thyme 43,Bloomingdale's,$142.00,142.0,5.0,2.0
52,Birkenstock Arizona Eva M 1017997 Red,Westerlind,$50.00,50.0,4.5,1937.0
53,BIRKENSTOCK Boston Oiled Leather Habana Clogs,BIRKENSTOCK,$142.00,142.0,,
54,Birkenstock Boston Suede Leather Taupe Clogs,size? - International,$155.21,155.21,4.4,24.0
55,Birkenstock Arizona Birko-Flor Stone Sandals,Spartoo.net,$87.00,87.0,4.7,13912.0
56,Birkenstock Men's Zermatt Leather Suede Shoes - Grey - Size 13,Saks Fifth Avenue,$180.00,180.0,,
57,"Birkenstock Arizona Sandal - Girls' Electric Metallic Gold Birko-Flor, 26.0",Backcountry.com,$59.95,59.95,4.5,5346.0
58,Arizona Exquisite Chunky Birkenstock by Birkenstock at Free People in Black,Free People,$220.00,220.0,,
59,Birkenstock Arizona Birko-Flor Dark Brown / 38,Moosejaw,$110.00,110.0,4.8,681.0
