,Product name,Selling Source,Price ($),Extracted Price,Rating,Reviews
0,Birkenstock Arizona Sandals Mocca,BIRKENSTOCK,59.95,59.95,4.7,150
1,"Birkenstock Arizona Narrow Width in Mocha, Size 27",REI,59.95,59.95,4.7,162
2,Birkenstock Black Arizona Sandals,ssense.com,190.0,190.0,4.5,6404
3,Women's Birkenstock Arizona Essentials Slide Sandal - Black - Size 10,DSW,49.99,49.99,4.6,14115
4,Birkenstock Arizona Birkibuc Stone,Amazon.com - Seller,86.95,86.95,4.7,13912
5,Birkenstock Brown Arizona Sandals,The Golden Boot,93.14,93.14,4.7,583
6,Birkenstock Navy Arizona Narrow Fit Sandals,Spartoo.net,44.0,44.0,4.7,13
7,Birkenstock Arizona Eva Khaki,DICK'S Sporting Goods,49.95,49.95,4.5,6414
8,"Birkenstock Women's Arizona Birko-Flor Sandal, Black, 37",Zappos.com,110.0,110.0,4.8,1160
9,Birkenstock Arizona Sandals - White,SLS-Bartel-Shop,101.99,101.99,4.7,395
10,Birkenstock Mocca Arizona Sandals,TopBrandShoes,80.71,80.71,4.9,346
11,Birkenstock Arizona Eva Sandals White,Nordstrom,49.95,49.95,4.5,6414
12,Birkenstock Milano Birko Flor Nubuck Sandals - Mocca,London Store,82.0,82.0,4.7,31
13,"Birkenstock Women's Arizona Split Sandals, Black/White",Finish Line,115.0,115.0,4.7,43
14,Birkenstock Sandals - Arizona - Black,Childrensalon,47.0,47.0,4.7,9669
15,Birkenstock Arizona Eva Sandals Black - 40,Sugar,49.0,49.0,4.5,6030
16,Birkenstock Arizona 1021201 Pink,6pm.com,24.75,24.75,4.8,8
17,Birkenstock Arizona Sandals - Brown,Tower London,81.0,81.0,4.7,1495
18,BIRKENSTOCK Boston Birko-Flor Nubuck Black Clogs,BIRKENSTOCK,120.0,120.0,0.0,0
19,"Birkenstock Women's Arizona Slide Sandal, Mocha, 36",QVC,110.0,110.0,4.6,1864
20,Birkenstock Boston Soft Footbed Suede Taupe,Dillard's,158.0,158.0,4.5,1131
21,"Smarams Birkenstock Arizona BS Stone, Adult Unisex, Size: 38EU, Grey",Walmart - Smarams,77.99,77.99,0.0,0
22,Birkenstock Arizona EVA Sandal - White 10,Macy's,50.0,50.0,4.6,2254
23,BIRKENSTOCK Boston Suede Leather Taupe Clogs,BIRKENSTOCK,158.0,158.0,0.0,0
24,Birkenstock Women's Arizona Eva Essentials Sandal - Sky Blue,Rack Room Shoes,49.99,49.99,4.5,6414
25,Birkenstock Arizona Canvas Slide Sandal in Stone Coin,Zappos.com,40.57,40.57,4.3,3
26,"Arizona Tobacco Oiled Leather - 352201 - TOBACCO LEATHER, 37 | Mountain High ...",Mountain High Outfitters,125.0,125.0,0.0,0
27,Birkenstock Arizona -,gahoboots-shop.com,54.0,54.0,0.0,0
28,Birkenstock Kids' Arizona Eva Beetroot Purple,Scheels,34.95,34.95,4.3,32
29,"Birkenstock Arizona Eva Multi Gold Women's, 36 / N",Famous Footwear,54.99,54.99,4.5,1154
30,BIRKENSTOCK Arizona Birko-Flor Desert Soil Blue Two-Strap Sandals,BIRKENSTOCK,66.0,66.0,0.0,0
31,"Birkenstock Arizona in Mocha Birkibuc, Size UK 9.5 | END. Clothing",END. Clothing,69.0,69.0,0.0,0
32,Birkenstock Mens Boston Clog Men's Taupe 42 (US 9),American Eagle Outfitters,158.0,158.0,5.0,2
33,"Birkenstock Kids' Arizona Sandals, White",Bloomingdale's,59.95,59.95,4.8,55
34,Birkenstock Women's Arizona Split Mineral/Light Rose,Backcountry.com,170.0,170.0,4.8,7
35,Birkenstock Shoes | Arizona Birko-Flor Nubuck Mocha | Color: Brown/Tan | Size: 10 ...,Poshmark,99.0,99.0,0.0,0
36,Birkenstock Women's Arizona Eva Essentials Sandal - Active Lime,Shoe Carnival,49.99,49.99,4.5,3040
37,"Birkenstock Arizona Metallic Slide Sandal in Electric Metallic at Nordstrom, Size ...",Nordstrom,59.95,59.95,4.6,11
38,BIRKENSTOCK Kids Arizona EVA Black Beach Sandals,BIRKENSTOCK,34.95,34.95,0.0,0
39,Birkenstock Women's Arizona Eva White,Smallable,55.0,55.0,4.6,520
40,Birkenstock Women's Arizona Pink Wool Shearling,Champs Sports,64.99,64.99,4.3,91
41,Birkenstock Boston Suede Leather Taupe Clogs,size? - International,155.23,155.23,4.4,24
42,"Birkenstock Arizona Birkibuc Sandal in Brown, Women's at Urban Outfitters",Urban Outfitters,110.0,110.0,0.0,0
43,Birkenstock Arizona Eva Black 1018924,Childsplay Clothing International,26.0,26.0,5.0,13
44,Birkenstock 'Arizona' Sandals,24S,140.0,140.0,4.7,71
45,Birkenstock Women's Sydney Graceful Taupe Birko-Flor,WalkingCo,99.95,99.95,4.7,40
46,"Birkenstock Men's Jackson Boots, Dark Brown",Public Lands,219.99,219.99,2.5,10
47,Birkenstock Arizona Sandals Brown,SneakerStudio.com,90.0,90.0,4.5,5584
48,Birkenstock Arizona Birko-Flor Single Shoe,Zappos.com,49.97,49.97,0.0,0
