,date,Birk Value,Birk Extracted Value,Croc Value,Croc Extracted Value
0,"Apr 10 – 16, 2022",68,68,58,58
1,"Apr 17 – 23, 2022",68,68,52,52
2,"Apr 24 – 30, 2022",73,73,61,61
3,"May 1 – 7, 2022",78,78,91,91
4,"May 8 – 14, 2022",85,85,70,70
5,"May 15 – 21, 2022",91,91,73,73
6,"May 22 – 28, 2022",88,88,71,71
7,"May 29 – Jun 4, 2022",100,100,79,79
8,"Jun 5 – 11, 2022",98,98,75,75
9,"Jun 12 – 18, 2022",91,91,86,86
10,"Jun 19 – 25, 2022",93,93,84,84
11,"Jun 26 – Jul 2, 2022",96,96,77,77
12,"Jul 3 – 9, 2022",93,93,74,74
13,"Jul 10 – 16, 2022",94,94,74,74
14,"Jul 17 – 23, 2022",89,89,74,74
15,"Jul 24 – 30, 2022",82,82,70,70
16,"Jul 31 – Aug 6, 2022",83,83,69,69
17,"Aug 7 – 13, 2022",87,87,68,68
18,"Aug 14 – 20, 2022",79,79,65,65
19,"Aug 21 – 27, 2022",88,88,62,62
20,"Aug 28 – Sep 3, 2022",80,80,58,58
21,"Sep 4 – 10, 2022",81,81,74,74
22,"Sep 11 – 17, 2022",67,67,64,64
23,"Sep 18 – 24, 2022",59,59,64,64
24,"Sep 25 – Oct 1, 2022",60,60,62,62
25,"Oct 2 – 8, 2022",58,58,80,80
26,"Oct 9 – 15, 2022",56,56,56,56
27,"Oct 16 – 22, 2022",56,56,53,53
28,"Oct 23 – 29, 2022",47,47,49,49
29,"Oct 30 – Nov 5, 2022",45,45,55,55
30,"Nov 6 – 12, 2022",45,45,68,68
31,"Nov 13 – 19, 2022",51,51,63,63
32,"Nov 20 – 26, 2022",69,69,100,100
33,"Nov 27 – Dec 3, 2022",58,58,82,82
34,"Dec 4 – 10, 2022",57,57,82,82
35,"Dec 11 – 17, 2022",57,57,78,78
36,"Dec 18 – 24, 2022",54,54,76,76
37,"Dec 25 – 31, 2022",56,56,69,69
38,"Jan 1 – 7, 2023",41,41,48,48
39,"Jan 8 – 14, 2023",38,38,46,46
40,"Jan 15 – 21, 2023",32,32,44,44
41,"Jan 22 – 28, 2023",35,35,40,40
42,"Jan 29 – Feb 4, 2023",31,31,41,41
43,"Feb 5 – 11, 2023",39,39,41,41
44,"Feb 12 – 18, 2023",39,39,44,44
45,"Feb 19 – 25, 2023",48,48,49,49
46,"Feb 26 – Mar 4, 2023",45,45,62,62
47,"Mar 5 – 11, 2023",52,52,59,59
48,"Mar 12 – 18, 2023",51,51,52,52
49,"Mar 19 – 25, 2023",54,54,52,52
50,"Mar 26 – Apr 1, 2023",59,59,55,55
51,"Apr 2 – 8, 2023",69,69,52,52
